17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=10, 6=0, 0=0} (Broken pipe)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=19} (Broken pipe)
17:13:18 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=3} (Broken pipe)
17:13:20 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=9, 0=0} (Broken pipe)
17:13:20 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=28, 0=0} (Broken pipe)
17:13:21 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=12} (Broken pipe)
17:13:21 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=25, 0=0} (Broken pipe)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=25} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=8} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=9} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=4, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=26} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=15} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=29} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=17} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=3} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=16, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=18, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=13, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=19} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=12, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=17, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=7} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=18} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=21} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=22, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=26, 6=0, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=28, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=12, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
