17:13:14 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=10, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=8, 6=0, 0=0} (Connection reset by peer)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:17 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=29, 0=0} (Broken pipe)
17:13:19 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=7, 6=0, 0=0} (Broken pipe)
17:13:20 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=25, 6=0, 0=0} (Broken pipe)
17:13:20 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=14, 0=0} (Broken pipe)
17:13:20 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Broken pipe)
17:13:39 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=18, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:39 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=17, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:39 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=28, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:39 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=29, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:39 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=18, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:39 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=24, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=1, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=2, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:40 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=11, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=28, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=5} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=25} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=10} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=6} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=15} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=9} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 6 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=11} (Operation timed out)
17:13:41 - Cannot send message TRANSACTION of 10 bitcakes to 5 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=22} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=22, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=13, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 3 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=9, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 1 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 4 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=28, 0=0} (Operation timed out)
17:13:42 - Cannot send message TRANSACTION of 10 bitcakes to 2 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=0, 0=19} (Operation timed out)
17:13:43 - Cannot send message TRANSACTION of 10 bitcakes to 0 with clock {1=0, 2=0, 3=0, 4=0, 5=0, 6=24, 0=0} (Operation timed out)
